ds,ticker,y
2023-06-23 10:00:00,롯데월드잠실점,0.10852
2023-06-23 10:00:00,방이동 먹자골목,0.03335
2023-06-23 10:00:00,올림픽공원세계평화의문,0.05788
2023-06-23 10:00:00,잠실역 롯데월드,0.03613
2023-06-23 11:00:00,롯데백화점에비뉴엘월드타워점,0.08742
2023-06-23 11:00:00,롯데월드몰,0.02087
2023-06-23 11:00:00,롯데월드잠실점,0.13283
2023-06-23 11:00:00,방이동 먹자골목,0.03698
2023-06-23 11:00:00,올림픽공원세계평화의문,0.07693
2023-06-23 11:00:00,잠실역 롯데월드,0.04273
2023-06-23 12:00:00,롯데백화점에비뉴엘월드타워점,0.13181
2023-06-23 12:00:00,롯데월드몰,0.02676
2023-06-23 12:00:00,롯데월드잠실점,0.15904
2023-06-23 12:00:00,방이동 먹자골목,0.03752
2023-06-23 12:00:00,올림픽공원세계평화의문,0.05862
2023-06-23 12:00:00,잠실역 롯데월드,0.04785
2023-06-23 13:00:00,롯데백화점에비뉴엘월드타워점,0.13549
2023-06-23 13:00:00,롯데월드몰,0.02895
2023-06-23 13:00:00,롯데월드잠실점,0.17429
2023-06-23 13:00:00,방이동 먹자골목,0.03532
2023-06-23 13:00:00,올림픽공원세계평화의문,0.05244
2023-06-23 13:00:00,잠실역 롯데월드,0.05062
2023-06-23 14:00:00,롯데백화점에비뉴엘월드타워점,0.14618
2023-06-23 14:00:00,롯데월드몰,0.03173
2023-06-23 14:00:00,롯데월드잠실점,0.1906
2023-06-23 14:00:00,방이동 먹자골목,0.03361
2023-06-23 14:00:00,올림픽공원세계평화의문,0.06085
2023-06-23 14:00:00,잠실역 롯데월드,0.05272
2023-06-23 15:00:00,롯데백화점에비뉴엘월드타워점,0.16571
2023-06-23 15:00:00,롯데월드몰,0.03362
2023-06-23 15:00:00,롯데월드잠실점,0.18131
2023-06-23 15:00:00,방이동 먹자골목,0.03391
2023-06-23 15:00:00,올림픽공원세계평화의문,0.05269
2023-06-23 15:00:00,잠실역 롯데월드,0.05408
2023-06-23 16:00:00,롯데백화점에비뉴엘월드타워점,0.17124
2023-06-23 16:00:00,롯데월드몰,0.03339
2023-06-23 16:00:00,롯데월드잠실점,0.19166
2023-06-23 16:00:00,방이동 먹자골목,0.03429
2023-06-23 16:00:00,올림픽공원세계평화의문,0.0512
2023-06-23 16:00:00,잠실역 롯데월드,0.05535
2023-06-23 17:00:00,롯데백화점에비뉴엘월드타워점,0.19141
2023-06-23 17:00:00,롯데월드몰,0.0312
2023-06-23 17:00:00,롯데월드잠실점,0.18607
2023-06-23 17:00:00,방이동 먹자골목,0.03701
2023-06-23 17:00:00,올림픽공원세계평화의문,0.047
